"id","Geslacht","Geslacht[other]","opleiding","leeftijd","opleiding[other]","v1","v1_group","v2","v2_group","v3","v3_group","v4","v4_group","v5","v5_group","v6","v6_group","v7","v7_group","v8","v8_group","v9","v9_group","v10","v10_group","v11","v11_group","v12","v12_group","v13","v13_group","v14","v14_group","v15","v15_group","Eindvraag"
"39","vrouw","","WO","49","","Bart","A","Sanne","B","Sem","A","Wout","A","Malou","B","Sabrina","A","Anyck","B","Ward","A","Joyce","B","Lieke","A","Pauline","A","Fenna","B","Finn","B","Mila","A","Laura","B","Nee"
"40","vrouw","","WO","23","","Daan","A","Roos","A","Rens","B","Douwe","B","Francisca","A","Sabrina","A","Valérie","A","Ward","B","Joyce","B","Iris","B","Willemijn","A","Eline","B","Freek","A","Rinske","B","Nynke","B","Nee"
"41","vrouw","","HBO","18","","Bart","A","Roos","A","Rens","B","Lex","B","Hester","B","Cynthia","A","Anyck","A","Jelte","B","Nina","A","Britt","B","Annemarie","A","Romy","B","Boris","A","Rinske","B","Nynke","B","Nee"
"42","vrouw","","Other","24","GERMAN UNI","Willem","B","Sanne","A","Luc","A","Jip","A","Malou","B","Renske","B","Anyck","B","Sten","A","Maaike","B","Iris","A","Megan","B","Naomi","A","Mart","A","Theresia","B","Laura","A","Nee"
"43","man","","WO","24","","Mike","B","Eva","A","Luc","A","Jort","A","Margaretha","A","Sabrina","A","Jantine","B","Markus","B","Tessa","A","Nienke","B","Annemarie","A","Eline","B","Finn","B","Lana","B","Laura","A","Nee"
"44","vrouw","","VWO","13","","Daan","B","Femke","B","Rens","A","Wout","A","Francisca","A","Lianne","B","Lois","B","Ward","A","Lotte","A","Nienke","B","Megan","B","Romy","B","Freek","A","Dewi","A","Jill","B","Nee"
"45","vrouw","","VWO","16","","Willem","B","Sanne","A","Rens","B","Jort","A","Margaretha","A","Wilhelmina","B","Lois","B","Sten","A","Joyce","B","Nienke","B","Willemijn","A","Fenna","B","Mart","A","Dewi","A","Jill","B","Nee"
"46","man","","VWO","14","","Daan","B","Sanne","A","Jacob","B","Douwe","B","Francisca","A","Nadine","A","Marie","A","Jelte","B","Tessa","A","Lieke","A","Wietske","B","Eline","B","Mart","A","Lana","B","Laura","A","Nee"
"47","vrouw","","WO","35","","Daan","B","Femke","B","Rens","B","Jort","A","Francisca","A","Amanda","A","Anyck","A","Noud","A","Nina","A","Nienke","B","Willemijn","A","Eline","B","Marten","B","Yentl","B","Laura","B","Nee"
"48","vrouw","","WO","20","","Bart","A","Johanna","B","Rens","A","Jort","A","Francisca","A","Sabrina","A","Benthe","B","Ward","B","Nina","A","Vera","A","Annemarie","A","Eline","B","Marten","B","Rinske","B","Maria","B","Ja"
"49","vrouw","","WO","22","","Daan","A","Kim","B","Rens","A","Wout","A","Carolina","A","Cynthia","A","Anyck","B","Jelte","B","Nina","A","Iris","B","Pauline","B","Romy","B","Marten","B","Yentl","B","Ilse","A","Nee"
"50","man","","WO","79","","Bart","A","Femke","B","Sem","A","Mitch","B","Francisca","A","Sabrina","A","Anyck","B","Jelte","B","Anne","A","Nienke","B","Annemarie","A","Eline","B","Arend","B","Mila","A","Jill","B","Nee"
"51","vrouw","","WO","59","","Jelle","B","Femke","B","Joep","A","Mitch","B","Francisca","B","Cynthia","A","Valérie","A","Ward","A","Anne","B","Iris","B","Willemijn","A","Denise","A","Marten","B","Yentl","B","Ilse","A","Nee"
"52","man","","WO","40","","Rick","A","Lisa","A","Luc","A","Douwe","B","Hester","B","Renske","B","Valérie","A","Ward","B","Tessa","A","Iris","A","Wietske","B","Eline","B","Freek","A","Dewi","A","Jill","B","Nee"
"53","vrouw","","WO","20","","Mike","B","Sanne","B","Luc","A","Wout","A","Francisca","A","Lianne","B","Inez","A","Noud","A","Anne","B","Iris","B","Marissa","A","Romy","A","Jaap","A","Lana","B","Jill","B","Nee"
"54","vrouw","","WO","20","","Daan","B","Lisa","A","Rens","B","Harmen","B","Francisca","A","Cynthia","A","Inez","A","Ward","A","Anne","B","Iris","A","Wietske","B","Eline","B","Jaap","B","Lana","A","Jill","B","Nee"
"55","man","","WO","23","","Daan","B","Sanne","A","Rens","A","Harmen","B","Francisca","A","Nadine","A","Valérie","A","Jelte","B","Joyce","B","Nienke","B","Pauline","B","Romy","B","Boris","A","Mila","A","Sandra","A","Ja"
"56","vrouw","","VWO","18","","Rick","A","Roos","A","Dave","B","Lex","A","Francisca","B","Nadine","A","Benthe","B","Ward","B","Maaike","B","Iris","A","Pauline","A","Denise","A","Marten","B","Yentl","B","Ilse","A","Nee"
"57","man","","VWO","17","","Mike","B","Sanne","A","Dave","B","Wout","A","Malou","B","Renske","B","Benthe","B","Markus","B","Tessa","A","Iris","B","Pauline","A","Denise","A","Marten","B","Dewi","A","Sandra","A","Nee"
"58","vrouw","","HBO","59","","Jelle","B","Sanne","A","Luc","A","Harmen","B","Francisca","B","Nadine","A","Inez","A","Sten","A","Anne","A","Iris","B","Willemijn","A","Romy","B","Arend","B","Dewi","A","Nynke","B","Nee"
"59","man","","VWO","17","","Bart","A","Sanne","B","Luc","A","Mitch","B","Malou","B","Lianne","B","Anyck","A","Abel","A","Tessa","A","Floor","A","Wietske","B","Romy","B","Boris","A","Dewi","A","Nynke","B","Nee"
"60","vrouw","","VWO","15","","Daan","B","Femke","B","Hidde","B","Lex","A","Francisca","A","Cynthia","A","Marie","A","Ward","B","Anne","B","Vera","A","Willemijn","A","Fenna","B","Finn","B","Mila","A","Sandra","A","Nee"
"61","vrouw","","VWO","16","","Daan","A","Femke","B","Rens","B","Douwe","B","Francisca","B","Lianne","B","Valérie","A","Ward","A","Anne","A","Vera","A","Pauline","B","Romy","A","Freek","A","Lana","B","Nynke","B","Nee"
"62","vrouw","","VWO","17","","Daan","B","Sanne","B","Rens","B","Douwe","B","Antonia","A","Renske","B","Valérie","A","Abel","A","Joyce","B","Lieke","A","Willemijn","A","Fenna","B","Mart","A","Yentl","B","Laura","A","Nee"
"63","vrouw","","WO","28","","Daan","B","Sanne","A","Rens","B","Mitch","B","Francisca","A","Renske","B","Valérie","A","Jelte","B","Joyce","B","Nienke","B","Pauline","A","Naomi","A","Freek","A","Yentl","B","Laura","A","Ja"
"64","vrouw","","VWO","18","","Tom","A","Femke","B","Joep","A","Douwe","B","Francisca","A","Lianne","B","Benthe","B","Noud","A","Joyce","B","Iris","B","Willemijn","A","Denise","A","Finn","B","Mila","A","Laura","B","Nee"
"65","vrouw","","WO","23","","Daan","B","Femke","B","Dave","B","Douwe","B","Francisca","A","Sabrina","A","Anyck","B","Ward","A","Joyce","B","Lieke","A","Pauline","A","Eline","B","Freek","A","Mila","A","Laura","B","Nee"
"66","vrouw","","VWO","46","","Tom","A","Kim","B","Rens","A","Lex","B","Malou","B","Cynthia","A","Anyck","A","Sten","A","Elisabeth","B","Britt","B","Pauline","B","Romy","A","Mart","A","Dewi","A","Laura","B","Nee"
"67","vrouw","","WO","24","","Tom","A","Lisa","A","Rens","B","Wout","A","Hester","B","Nadine","A","Benthe","B","Noud","A","Joyce","B","Nienke","B","Pauline","A","Denise","A","Marten","B","Dewi","A","Laura","B","Nee"
"68","vrouw","","HBO","33","","Rick","A","Sanne","A","Joep","A","Harmen","B","Gwen","B","Renske","B","Valérie","A","Ward","A","Joyce","B","Iris","A","Wietske","B","Eline","B","Jaap","B","Dewi","A","Nynke","B","Nee"
"69","vrouw","","WO","50","","Mike","B","Lisa","A","Rens","A","Lex","A","Carolina","A","Sabrina","A","Lois","B","Jelte","B","Lotte","A","Floor","A","Pauline","B","Adriana","B","Jaap","A","Lana","B","Laura","B","Nee"
"70","vrouw","","WO","19","","Jelle","B","Roos","A","Rens","B","Lex","B","Carolina","A","Renske","B","Benthe","B","Sten","A","Joyce","B","Floor","A","Annemarie","A","Denise","A","Marten","B","Dewi","A","Laura","B","Nee"
"71","vrouw","","WO","22","","Rick","A","Lisa","A","Rens","A","Lex","B","Hester","B","Amanda","A","Lois","B","Ward","B","Lotte","A","Britt","B","Annemarie","A","Sharon","A","Mart","A","Rinske","B","Nynke","B","Nee"
"72","vrouw","","WO","21","","Daan","A","Sanne","B","Sem","A","Jort","A","Carolina","A","Renske","B","Marie","A","Jelte","B","Anne","B","Britt","B","Pauline","B","Eline","B","Mart","A","Mila","A","Nynke","B","Nee"
"73","vrouw","","Other","35","WO DUITSLAND","Jelle","B","Sanne","B","Joep","A","Wout","A","Hester","B","Sabrina","A","Valérie","A","Ward","B","Anne","B","Iris","A","Willemijn","A","Sharon","A","Freek","A","Rinske","B","Nynke","B","Nee"
